SA_label_1 : [322.68310199999917, 322.68310199999917, 325.5830639999994, 325.5830639999994, 329.2572239999993, 329.2572239999993, 331.09430399999934, 329.2572239999993, 331.09430399999934, 331.09430399999934, 329.2572239999993, 331.0943039999994, 331.09430399999934, 331.09430399999934, 331.09430399999934, 329.2572239999993, 329.2572239999993, 331.0943039999994, 331.0943039999994, 331.0943039999994, 326.35726199999954, 326.35726199999954, 326.35726199999954, 331.0943039999994, 326.35726199999954, 326.35726199999954, 329.2572239999993, 329.2572239999993, 331.09430399999934, 331.09430399999934, 329.2572239999993, 329.2572239999993, 325.5830639999994, 325.5830639999994, 325.5830639999994, 331.0943039999994, 329.2572239999993, 329.2572239999993, 331.0943039999994, 331.09430399999934, 329.2572239999993, 331.09430399999934, 331.09430399999934, 331.09430399999934, 331.09430399999934, 331.09430399999934, 329.2572239999993, 331.09430399999934, 325.5830639999994, 331.09430399999934, 329.2572239999993, 331.09430399999934, 329.2572239999993, 331.09430399999934, 329.2572239999993, 329.2572239999993, 331.09430399999934, 329.2572239999993, 325.5830639999994, 319.00894199999937, 322.68310199999945, 322.68310199999917, 331.09430399999934, 331.0943039999994, 325.5830639999994, 329.2572239999993, 329.2572239999993, 325.5830639999994, 322.68310199999917, 323.7459839999993, 329.2572239999993, 331.09430399999934, 329.2572239999993, 329.2572239999993, 329.2572239999993, 331.09430399999934, 331.09430399999934, 329.2572239999993, 323.7459839999993, 325.5830639999994, 329.2572239999993, 331.09430399999934, 329.2572239999993, 326.35726199999954, 326.35726199999954, 331.0943039999994, 317.1718619999994, 317.17186199999946, 329.2572239999993, 331.09430399999934, 331.09430399999934, 329.2572239999993]
SA_label_2 : [267.3869940000003, 267.3869940000003, 267.3869940000003, 267.3869940000003, 265.54991400000034, 265.54991400000034, 258.2015940000004, 258.2015940000004, 274.73531400000024, 274.73531400000024, 274.73531400000024, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 269.2240740000003, 269.2240740000003, 258.2015940000004, 267.3869940000003, 267.3869940000003, 265.5499140000004, 269.2240740000003, 269.2240740000003, 269.2240740000003, 272.8982340000003, 272.8982340000003, 269.2240740000003, 269.2240740000003, 272.8982340000003, 269.2240740000003, 272.8982340000003, 269.2240740000003, 272.8982340000003, 272.8982340000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 265.5499140000004, 265.5499140000004, 265.5499140000004, 265.5499140000004, 267.3869940000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 267.3869940000003, 267.3869940000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 269.2240740000003, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 272.89823400000023, 274.73531400000024, 274.73531400000024, 274.73531400000024, 274.73531400000024, 272.8982340000003, 272.8982340000003, 272.8982340000003, 272.8982340000003, 269.2240740000003, 269.2240740000003, 265.54991400000034, 267.3869940000003, 267.3869940000003, 267.3869940000003, 267.3869940000003, 267.3869940000003]
SA_label_3 : [285.6659399999999, 285.6659399999999, 290.40298199999995, 286.7288219999999, 286.7288219999999, 284.89174199999997, 284.89174199999997, 290.6916659999998, 290.6916659999998, 287.7917039999998, 282.765978, 284.89174199999997, 283.05466199999995, 288.8545859999998, 290.6916659999998, 290.6916659999998, 288.8545859999998, 283.05466199999995, 288.8545859999998, 288.8545859999998, 290.6916659999998, 290.6916659999998, 290.6916659999998, 290.6916659999998, 289.6287839999999, 290.6916659999998, 290.6916659999998, 290.6916659999998, 290.6916659999998, 293.5916279999998, 287.7917039999998, 287.7917039999998, 291.7545479999998, 289.6287839999998, 284.89174199999985, 289.6287839999999, 290.6916659999998, 284.89174199999985, 290.6916659999998, 284.89174199999985, 284.89174199999985, 285.95462399999985, 285.95462399999985, 284.89174199999985, 284.89174199999985, 283.05466199999995, 290.6916659999998, 290.6916659999998, 284.89174199999985, 283.05466199999995, 284.89174199999985, 284.89174199999985, 283.05466199999995, 290.6916659999998, 284.89174199999985, 284.89174199999985, 284.89174199999985, 290.6916659999998, 290.6916659999998, 289.6287839999999, 284.89174199999985, 284.89174199999985, 290.6916659999998, 290.6916659999998, 290.6916659999998, 290.6916659999998, 283.05466199999995, 283.05466199999995, 290.6916659999998, 285.95462399999985, 282.765978, 274.35477600000013, 279.8660160000001, 287.7917039999998, 287.7917039999998, 289.6287839999998, 284.6030579999999, 293.3029439999999, 284.6030579999999, 289.6287839999998, 289.6287839999998, 290.40298199999995, 289.34009999999995, 289.34009999999995, 289.34009999999995, 290.40298199999995, 296.977104, 285.95462399999985, 285.95462399999985, 285.95462399999985, 285.95462399999985, 285.95462399999985]
SA_label_4 : [291.9382559999997, 291.9382559999997, 291.9382559999997, 292.7124539999998, 304.79781599999967, 301.12365599999976, 291.9382559999997, 294.54953399999965, 294.54953399999965, 294.54953399999965, 291.9382559999997, 292.7124539999998, 291.9382559999997, 291.9382559999997, 300.0607739999996, 294.54953399999965, 301.89785399999965, 304.79781599999967, 300.0607739999996, 294.54953399999965, 296.38661399999984, 294.54953399999965, 291.9382559999997, 291.9382559999997, 294.54953399999965, 294.54953399999965, 291.9382559999997, 294.54953399999965, 294.54953399999965, 300.0607739999996, 294.54953399999965, 294.54953399999965, 304.79781599999967, 300.0607739999996, 300.0607739999996, 294.54953399999965, 294.54953399999965, 294.54953399999965, 300.0607739999996, 300.0607739999996, 291.9382559999997, 294.54953399999965, 291.9382559999997, 291.9382559999997, 291.9382559999997, 294.54953399999965, 300.0607739999996, 294.54953399999965, 294.54953399999965, 291.9382559999997, 294.54953399999965, 292.7124539999998, 301.89785399999965, 294.54953399999965, 292.7124539999998, 301.89785399999965, 301.89785399999965, 300.0607739999996, 301.12365599999976, 304.79781599999967, 301.89785399999965, 300.0607739999996, 300.0607739999996, 300.0607739999996, 301.12365599999976, 301.89785399999965, 300.0607739999996, 294.54953399999965, 304.79781599999967, 301.89785399999965, 294.54953399999965, 304.79781599999967, 301.89785399999965, 304.79781599999967, 291.9382559999997, 294.54953399999965, 291.9382559999997, 291.9382559999997, 294.54953399999965, 291.9382559999997, 294.54953399999965, 291.9382559999997, 294.54953399999965, 291.9382559999997, 294.54953399999965, 291.9382559999997, 294.54953399999965, 304.79781599999967, 300.0607739999996, 301.89785399999965, 300.0607739999996, 304.79781599999967]
SA_label_5 : [153.60613199999983, 153.60613199999983, 153.60613199999983, 155.44321199999985, 153.60613199999983, 162.7915319999999, 153.60613199999983, 153.60613199999983, 146.25781199999977, 153.60613199999983, 153.60613199999983, 153.60613199999983, 159.11737199999985, 159.11737199999985, 162.7915319999999, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 159.11737199999985, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 155.44321199999985, 155.44321199999985, 155.44321199999985, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 155.44321199999985, 153.60613199999983, 155.44321199999985, 153.60613199999983, 153.60613199999983, 153.60613199999983, 146.25781199999977, 153.60613199999983, 146.25781199999977, 153.60613199999983, 146.25781199999977, 153.60613199999983, 153.60613199999983, 153.60613199999983, 153.60613199999983, 142.5836519999998, 142.5836519999998, 142.5836519999998, 144.4207319999998, 142.5836519999998, 142.5836519999998, 144.4207319999998, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 155.44321199999985, 153.60613199999983, 155.44321199999985, 155.44321199999985]
SA_label_6 : [374.0163659999987, 374.0163659999987, 374.01636599999875, 374.0163659999988, 374.0163659999988, 374.0163659999988, 374.7905639999988, 374.7905639999988, 374.7905639999989, 355.068197999999, 372.9534839999988, 372.9534839999988, 351.39403799999894, 351.39403799999894, 372.17928599999874, 372.9534839999988, 370.3422059999988, 372.17928599999874, 374.0163659999987, 374.01636599999875, 372.17928599999874, 374.0163659999987, 374.01636599999875, 374.0163659999988, 374.0163659999987, 374.01636599999875, 374.01636599999875, 374.0163659999987, 374.0163659999987, 374.01636599999875, 374.01636599999875, 374.0163659999987, 374.01636599999875, 374.0163659999987, 374.01636599999875, 372.17928599999874, 374.0163659999987, 374.0163659999987, 374.0163659999987, 374.0163659999987, 374.0163659999987, 374.01636599999875, 374.01636599999875, 374.01636599999875, 372.17928599999874, 374.0163659999987, 372.17928599999874, 372.17928599999874, 370.3422059999988, 372.17928599999874, 374.0163659999987, 370.3422059999988, 372.17928599999874, 372.9534839999988, 372.9534839999988, 372.9534839999988, 355.068197999999, 372.17928599999874, 370.3422059999988, 351.39403799999894, 351.39403799999894, 374.7905639999988, 374.7905639999988, 374.7905639999988, 374.7905639999988, 374.0163659999988, 374.01636599999875, 374.01636599999875, 374.01636599999875, 374.01636599999875, 374.0163659999988, 374.0163659999988, 374.01636599999875, 374.01636599999875, 374.01636599999875, 374.0163659999988, 374.0163659999988, 374.7905639999988, 374.0163659999987, 374.0163659999987, 374.01636599999875, 374.0163659999987, 374.01636599999875, 374.0163659999987, 374.01636599999875, 374.01636599999875, 374.01636599999875, 374.01636599999875, 372.17928599999874, 374.0163659999987, 374.0163659999987, 374.0163659999987]
SA_label_7 : [225.0423000000002, 225.0423000000002, 225.0423000000002, 226.8793800000002, 226.8793800000002, 225.0423000000002, 226.8793800000002, 225.0423000000002, 227.6535780000002, 222.1423380000002, 228.7164600000002, 222.14233800000017, 222.1423380000002, 222.14233800000017, 227.6535780000002, 225.0423000000002, 228.7164600000002, 228.7164600000002, 228.7164600000002, 225.0423000000002, 228.7164600000002, 227.6535780000002, 225.0423000000002, 226.8793800000002, 226.8793800000002, 228.7164600000002, 222.14233800000017, 226.8793800000002, 225.0423000000002, 225.0423000000002, 225.0423000000002, 225.0423000000002, 225.0423000000002, 227.6535780000002, 219.53106000000014, 226.8793800000002, 225.0423000000002, 219.53106000000014, 209.2827780000001, 222.14233800000017, 225.0423000000002, 225.0423000000002, 219.53106000000014, 228.7164600000002, 226.8793800000002, 225.0423000000002, 227.6535780000002, 222.14233800000017, 209.2827780000001, 209.2827780000001, 225.0423000000002, 227.6535780000002, 225.0423000000002, 228.7164600000002, 222.1423380000002, 222.1423380000002, 219.53106000000014, 209.2827780000001, 219.53106000000014, 209.2827780000001, 219.53106000000014, 219.53106000000014, 222.1423380000002, 228.7164600000002, 226.8793800000002, 225.0423000000002, 226.8793800000002, 225.0423000000002, 225.0423000000002, 225.0423000000002, 225.0423000000002, 226.8793800000002, 225.0423000000002, 219.53106000000014, 227.6535780000002, 227.6535780000002, 225.0423000000002, 228.7164600000002, 222.14233800000017, 228.7164600000002, 227.6535780000002, 222.1423380000002, 222.1423380000002, 222.14233800000017, 222.1423380000002, 226.8793800000002, 209.2827780000001, 227.6535780000002, 227.6535780000002, 222.1423380000002, 227.6535780000002, 222.14233800000017]
SA_label_8 : [285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 293.30294399999985, 306.1625039999998, 293.30294399999985, 293.30294399999985, 306.1625039999998, 293.30294399999985, 285.9546239999999, 285.9546239999999, 306.1625039999998, 306.1625039999998, 285.9546239999999, 293.30294399999985, 285.9546239999999, 293.30294399999985, 306.1625039999998, 302.48834399999987, 306.1625039999998, 306.1625039999998, 302.48834399999987, 306.1625039999998, 302.48834399999987, 306.1625039999998, 302.48834399999987, 306.1625039999998, 306.1625039999998, 306.1625039999998, 302.48834399999987, 302.48834399999987, 302.48834399999987, 302.48834399999987, 302.48834399999987, 306.1625039999998, 306.1625039999998, 302.48834399999987, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 306.1625039999998, 285.9546239999999, 285.9546239999999, 293.30294399999985, 293.30294399999985, 302.48834399999987, 293.30294399999985, 293.30294399999985, 302.48834399999987, 302.48834399999987, 302.48834399999987, 302.48834399999987, 302.48834399999987, 293.30294399999985, 302.48834399999987, 285.9546239999999, 293.30294399999985, 293.30294399999985, 285.9546239999999, 285.9546239999999, 285.9546239999999, 293.30294399999985, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 285.9546239999999, 293.30294399999985, 285.9546239999999, 285.9546239999999, 289.6287839999998, 285.9546239999999, 300.6512639999999, 289.6287839999998, 289.6287839999998, 289.6287839999998, 289.6287839999998, 289.6287839999998]
SA_label_9 : [204.07334400000005, 204.07334400000005, 221.38126200000016, 220.60706400000018, 216.15870600000014, 208.03618800000007, 209.09907000000007, 215.87002200000012, 205.91042400000003, 203.01046200000005, 203.01046200000005, 201.17338200000006, 208.5217020000001, 214.0329420000001, 207.74750400000005, 203.58783000000005, 201.17338200000003, 224.2812240000002, 213.83611200000013, 211.99903200000008, 209.87326800000008, 200.39918400000005, 208.5217020000001, 208.81038600000008, 208.81038600000008, 201.17338200000006, 201.17338200000003, 199.33630200000002, 205.91042400000006, 214.0329420000001, 207.74750400000005, 208.5217020000001, 215.87002200000012, 203.01046200000005, 204.36202800000007, 208.03618800000007, 206.97330600000006, 218.48130000000018, 212.19586200000012, 212.19586200000012, 212.19586200000012, 203.01046200000005, 204.84754200000006, 212.19586200000012, 199.04761800000003, 204.84754200000006, 199.04761800000003, 204.84754200000006, 204.84754200000006, 195.37345800000003, 195.37345800000003, 203.01046200000005, 201.94758000000004, 217.22158800000017, 194.59926, 209.09907000000007, 198.27342000000002, 201.17338200000003, 201.17338200000003, 201.17338200000003, 205.91042400000003, 205.91042400000006, 205.91042400000003, 214.0329420000001, 203.01046200000005, 205.91042400000006, 214.0329420000001, 207.74750400000005, 211.9071780000001, 198.75893400000004, 201.94758000000004, 191.987982, 206.68462200000005, 205.91042400000006, 205.91042400000006, 205.91042400000003, 205.91042400000006, 205.91042400000003, 205.91042400000003, 220.31838000000016, 214.0329420000001, 214.0329420000001, 214.0329420000001, 214.0329420000001, 214.0329420000001, 207.74750400000005, 205.91042400000003, 205.91042400000003, 196.43634, 194.31057600000003, 197.21053800000004, 201.65889600000008]
SA_label_10 : [201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 200.29420800000005, 200.29420800000005, 200.29420800000005, 200.29420800000005, 201.06840600000007, 201.06840600000007, 193.142718, 201.06840600000007, 200.29420800000005, 200.29420800000005, 200.29420800000005, 195.84585, 200.29420800000005, 200.29420800000005, 200.29420800000005, 201.06840600000007, 200.29420800000005, 200.29420800000005, 200.29420800000005, 201.06840600000007, 200.29420800000005, 200.29420800000005, 208.41672600000012, 208.41672600000012, 201.06840600000007, 203.19417000000007, 197.68293000000003, 205.80544800000007, 198.74581200000003, 205.80544800000007, 201.06840600000007, 200.29420800000005, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 208.41672600000012, 208.41672600000012, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 200.29420800000005, 200.29420800000005, 200.29420800000005, 200.29420800000005, 201.06840600000007, 201.06840600000007, 200.29420800000005, 200.29420800000005, 201.06840600000007, 200.29420800000005, 201.06840600000007, 201.06840600000007, 201.06840600000007, 208.41672600000012, 193.142718, 189.46855799999994, 192.36851999999996, 208.41672600000012, 208.41672600000012, 208.41672600000012, 207.35384400000012, 208.41672600000012, 200.00552400000004, 201.06840600000007, 208.41672600000012, 201.06840600000007, 208.41672600000012, 208.41672600000012, 201.06840600000007, 200.29420800000005, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007, 201.06840600000007]
